,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1295,2020S009218,02/07/2020,21:55:00,"CALL. ALCALA, 454",454,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,40.438704934413515,-3.634434905643968,N,
1296,2020S009227,02/07/2020,14:25:00,PLAZA. ESPAÑA / CALL. PRINCESA,18,MONCLOA-ARAVACA,Colisión lateral,Clear,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,40.42418960974168,-3.7123664211903122,N,
1297,2020S009238,03/07/2020,12:30:00,"CMNO. POZO DEL TIO RAIMUNDO, 1A",1A,VILLA DE VALLECAS,Colisión lateral,Clear,Bicicleta,Conductor,De 50 a 54 años,Hombre,6.0,40.37403087423105,-3.6512174633603607,N,
1298,2020S009243,02/07/2020,20:40:00,CALL. GENOVA / PLAZA. COLON,30,CENTRO,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 55 a 59 años,Hombre,7.0,40.42512919976213,-3.691361943077298,N,
1299,2020S009256,01/07/2020,20:58:00,CALL. NEVADO DEL CUMBAL / CALL. ACONCAGUA,1,HORTALEZA,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 6  a  9 años,Hombre,7.0,40.46900830170401,-3.63138298437302,N,
1300,2020S009274,02/07/2020,23:05:00,"PASEO. CASTELLANA, 5",5,CHAMBERÍ,Caída,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,40.42677793149883,-3.690534753473632,N,
1301,2020S009288,04/07/2020,3:30:00,PLAZA. ESPAÑA / CALL. GRAN VIA,1,CENTRO,Colisión lateral,Clear,Bicicleta,Conductor,De 15 a 17 años,Hombre,,40.423143911854886,-3.7109060464335215,S,
1302,2020S009294,04/07/2020,7:20:00,"AVDA. BLAS DE LEZO, 3",9,VICÁLVARO,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,3.0,40.40288644280203,-3.5529164206914197,N,
1303,2020S009303,04/07/2020,9:50:00,AVDA. MANZANARES / PSRL. SUR DEL PUENTE DE TOLEDO,24,LATINA,Atropello a persona,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,14.0,40.407562459351716,-3.722727181517555,N,
1304,2020S009303,04/07/2020,9:50:00,AVDA. MANZANARES / PSRL. SUR DEL PUENTE DE TOLEDO,24,LATINA,Atropello a persona,Clear,Bicicleta,Peatón,De 60 a 64 años,Mujer,1.0,40.407562459351716,-3.722727181517555,N,
